time,x,y,s,dis,dir,event,displayName
2017-09-08T02:43:46Z,75.55,38.83,7.71,0.79,300.73,NA,Tyreek Hill
2017-09-08T02:43:46Z,74.9,39.31,7.88,0.81,301.49,NA,Tyreek Hill
2017-09-08T02:43:47Z,74.27,39.81,8.05,0.8,302.01,NA,Tyreek Hill
2017-09-08T02:43:47Z,73.64,40.34,8.2,0.82,302.24,NA,Tyreek Hill
2017-09-08T02:43:47Z,72.99,40.89,8.34,0.85,302.29,NA,Tyreek Hill
2017-09-08T02:43:47Z,72.32,41.45,8.45,0.87,302.04,NA,Tyreek Hill
2017-09-08T02:43:47Z,71.63,41.98,8.56,0.87,301.6,NA,Tyreek Hill
2017-09-08T02:43:47Z,70.93,42.5,8.64,0.87,300.94,NA,Tyreek Hill
2017-09-08T02:43:47Z,70.2,42.99,8.7,0.88,299.7,NA,Tyreek Hill
2017-09-08T02:43:47Z,69.47,43.49,8.78,0.89,298.33,NA,Tyreek Hill
2017-09-08T02:43:47Z,68.7,43.94,8.84,0.9,296.75,NA,Tyreek Hill
2017-09-08T02:43:47Z,67.9,44.36,8.91,0.9,294.98,pass_forward,Tyreek Hill
2017-09-08T02:43:48Z,67.06,44.73,8.98,0.92,293.02,NA,Tyreek Hill
2017-09-08T02:43:48Z,66.21,45.09,9.04,0.92,290.87,NA,Tyreek Hill
2017-09-08T02:43:48Z,65.32,45.43,9.11,0.96,288.71,NA,Tyreek Hill
2017-09-08T02:43:48Z,64.42,45.71,9.17,0.94,286.55,NA,Tyreek Hill
2017-09-08T02:43:48Z,63.52,45.95,9.25,0.93,284.56,NA,Tyreek Hill
2017-09-08T02:43:48Z,62.59,46.15,9.32,0.95,282.57,NA,Tyreek Hill
2017-09-08T02:43:48Z,61.64,46.32,9.4,0.96,280.58,NA,Tyreek Hill
2017-09-08T02:43:48Z,60.7,46.47,9.48,0.96,278.75,NA,Tyreek Hill
2017-09-08T02:43:48Z,59.73,46.58,9.54,0.97,277.13,NA,Tyreek Hill
2017-09-08T02:43:48Z,58.76,46.66,9.6,0.98,275.66,NA,Tyreek Hill
2017-09-08T02:43:49Z,57.78,46.68,9.66,0.98,274.36,NA,Tyreek Hill
2017-09-08T02:43:49Z,56.79,46.7,9.7,0.99,273.14,NA,Tyreek Hill
2017-09-08T02:43:49Z,55.81,46.68,9.74,0.98,272.28,NA,Tyreek Hill
2017-09-08T02:43:49Z,54.82,46.68,9.78,0.99,271.49,NA,Tyreek Hill
2017-09-08T02:43:49Z,53.83,46.64,9.82,0.99,270.95,NA,Tyreek Hill
2017-09-08T02:43:49Z,52.83,46.59,9.83,1,270.39,NA,Tyreek Hill
2017-09-08T02:43:49Z,51.84,46.54,9.85,1,270.08,NA,Tyreek Hill
2017-09-08T02:43:49Z,50.85,46.49,9.87,0.99,269.98,NA,Tyreek Hill
2017-09-08T02:43:49Z,49.86,46.44,9.88,0.99,270,NA,Tyreek Hill
2017-09-08T02:43:49Z,48.87,46.41,9.88,1,270.2,NA,Tyreek Hill
2017-09-08T02:43:50Z,47.89,46.39,9.89,0.98,270.42,NA,Tyreek Hill
2017-09-08T02:43:50Z,46.91,46.4,9.9,0.98,270.77,NA,Tyreek Hill
2017-09-08T02:43:50Z,45.92,46.41,9.91,0.99,271.17,NA,Tyreek Hill
2017-09-08T02:43:50Z,44.93,46.44,9.93,0.99,271.61,pass_arrived,Tyreek Hill
2017-09-08T02:43:50Z,43.96,46.44,9.93,0.97,272.08,pass_outcome_caught,Tyreek Hill
2017-09-08T02:43:50Z,42.97,46.5,9.95,0.99,272.61,NA,Tyreek Hill
2017-09-08T02:43:50Z,41.98,46.57,9.97,1,273.19,NA,Tyreek Hill
2017-09-08T02:43:50Z,40.99,46.66,9.99,1,273.74,NA,Tyreek Hill
2017-09-08T02:43:50Z,39.99,46.75,10.01,1,274.18,NA,Tyreek Hill
2017-09-08T02:43:50Z,39,46.84,10.04,1,274.55,NA,Tyreek Hill
2017-09-08T02:43:51Z,38,46.92,10.08,1,274.85,NA,Tyreek Hill
2017-09-08T02:43:51Z,36.98,47.05,10.09,1.02,275.09,NA,Tyreek Hill
2017-09-08T02:43:51Z,35.97,47.15,10.12,1.02,275.31,NA,Tyreek Hill
2017-09-08T02:43:51Z,34.96,47.24,10.14,1.01,275.52,NA,Tyreek Hill
2017-09-08T02:43:51Z,33.95,47.36,10.16,1.02,275.6,NA,Tyreek Hill
2017-09-08T02:43:51Z,32.93,47.49,10.16,1.03,275.47,NA,Tyreek Hill
2017-09-08T02:43:51Z,31.91,47.61,10.18,1.03,275.38,NA,Tyreek Hill
2017-09-08T02:43:51Z,30.89,47.72,10.18,1.03,275.14,NA,Tyreek Hill
2017-09-08T02:43:51Z,29.87,47.82,10.18,1.02,274.79,NA,Tyreek Hill
2017-09-08T02:43:51Z,28.84,47.94,10.18,1.04,274.46,NA,Tyreek Hill
2017-09-08T02:43:52Z,27.82,48.02,10.15,1.02,273.87,NA,Tyreek Hill
2017-09-08T02:43:52Z,26.79,48.13,10.13,1.04,273.33,NA,Tyreek Hill
2017-09-08T02:43:52Z,25.79,48.2,10.09,1,272.67,NA,Tyreek Hill
2017-09-08T02:43:52Z,24.77,48.28,10.06,1.02,271.86,NA,Tyreek Hill
2017-09-08T02:43:52Z,23.77,48.32,10,1.01,270.78,NA,Tyreek Hill
2017-09-08T02:43:52Z,22.74,48.38,9.95,1.03,269.75,NA,Tyreek Hill
2017-09-08T02:43:52Z,21.73,48.39,9.89,1.01,268.61,NA,Tyreek Hill
2017-09-08T02:43:52Z,20.73,48.37,9.83,1,267.41,NA,Tyreek Hill
2017-09-08T02:43:52Z,19.74,48.35,9.76,1,266.01,NA,Tyreek Hill
2017-09-08T02:43:52Z,18.75,48.28,9.69,0.99,264.61,NA,Tyreek Hill
2017-09-08T02:43:53Z,17.77,48.21,9.61,0.98,263.06,NA,Tyreek Hill
2017-09-08T02:43:53Z,16.82,48.09,9.55,0.96,261.43,NA,Tyreek Hill
2017-09-08T02:43:53Z,15.86,47.94,9.48,0.97,259.67,NA,Tyreek Hill
2017-09-08T02:43:53Z,14.93,47.74,9.4,0.96,257.85,NA,Tyreek Hill
2017-09-08T02:43:53Z,13.99,47.53,9.32,0.95,255.89,NA,Tyreek Hill
2017-09-08T02:43:53Z,13.09,47.29,9.23,0.94,253.86,NA,Tyreek Hill
2017-09-08T02:43:53Z,12.19,47.02,9.16,0.94,251.86,NA,Tyreek Hill
2017-09-08T02:43:53Z,11.32,46.71,9.08,0.92,249.65,NA,Tyreek Hill
2017-09-08T02:43:53Z,10.47,46.38,9,0.91,247.4,NA,Tyreek Hill
2017-09-08T02:43:53Z,9.62,46.04,8.91,0.92,245.05,NA,Tyreek Hill
2017-09-08T02:43:54Z,8.8,45.64,8.82,0.91,242.75,touchdown,Tyreek Hill
2017-09-08T02:43:54Z,7.99,45.22,8.73,0.91,240.31,NA,Tyreek Hill
2017-09-08T02:43:54Z,7.22,44.75,8.62,0.9,237.76,NA,Tyreek Hill
2017-09-08T02:43:54Z,6.47,44.29,8.53,0.89,235.24,NA,Tyreek Hill
2017-09-08T02:43:54Z,5.77,43.77,8.43,0.87,232.63,NA,Tyreek Hill
2017-09-08T02:43:54Z,5.07,43.24,8.34,0.87,229.95,NA,Tyreek Hill
2017-09-08T02:43:54Z,4.41,42.66,8.23,0.88,227.16,NA,Tyreek Hill
2017-09-08T02:43:54Z,3.8,42.06,8.12,0.85,224.3,NA,Tyreek Hill
2017-09-08T02:43:54Z,3.23,41.44,8.02,0.84,221.33,NA,Tyreek Hill
2017-09-08T02:43:54Z,2.69,40.82,7.91,0.83,218.39,NA,Tyreek Hill
2017-09-08T02:43:55Z,2.21,40.16,7.8,0.82,215.28,NA,Tyreek Hill
